HOSTNAME,HOSTSTATE,MACHINETYPE,IPADDR,NETMASK,GATEWAY,CUSTOMER,CONTRACT,SOURCE,VLAN,DESCRIPTION
"AIRSBEAP4216","Up","Vmachine with HW Failover"," fe80::f4e4:3d02:b31e:4cc3","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4216","Up","Vmachine with HW Failover","10.126.173.77","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4216","Up","Vmachine with HW Failover"," fe80::94:f213:dda3:ccbc","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","10.126.173.78","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4219_Cluster_VLAN"
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","10.126.160.93","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4219"
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","10.199.16.21","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4219 - ADMIN"
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","192.168.17.21","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4219 - BACKUP"
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","10.199.16.21","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","ADMIN_VLAN_2117",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","fe80::ac26:d4:3195:c7d3 10.126.160.93 10.126.160.92","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_856",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","192.168.17.21","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","BACKUP_VLAN_2517",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","fe80::4588:49cb:a38:94ea 10.126.173.78","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_576",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","10.126.173.78","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager"," fe80::4588:49cb:a38:94ea","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","192.168.17.21","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","10.126.160.92","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager"," 10.126.160.93","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager"," fe80::ac26:d4:3195:c7d3","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4219","Up","DRP with SiteRecoveryManager","10.199.16.21","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","10.126.173.79","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4220_Cluster_VLAN"
"AIRSBEAP4220","Up","Vmachine with HW Failover","10.126.160.94","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4220"
"AIRSBEAP4220","Up","Vmachine with HW Failover","10.199.16.22","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4220 - ADMIN"
"AIRSBEAP4220","Up","Vmachine with HW Failover","192.168.17.22","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","AIRSBEAP4220 - BACKUP"
"AIRSBEAP4220","Up","Vmachine with HW Failover","10.199.16.22","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","ADMIN_VLAN_2117",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","fe80::e5a9:f194:1142:678c 10.126.160.94 10.126.160.116","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_856",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","192.168.17.22","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","BACKUP_VLAN_2517",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","fe80::1d48:7a05:ad0b:69c 10.126.173.79","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_576",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","192.168.17.22","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","10.126.173.79","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4220","Up","Vmachine with HW Failover"," fe80::1d48:7a05:ad0b:69c","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","10.199.16.22","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4220","Up","Vmachine with HW Failover","10.126.160.116","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4220","Up","Vmachine with HW Failover"," 10.126.160.94","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4220","Up","Vmachine with HW Failover"," fe80::e5a9:f194:1142:678c","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4223","Up","Vmachine with HW Failover","10.126.146.123","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4223","Up","Vmachine with HW Failover","fe80::18bf:7360:7559:ce6a 10.126.146.123","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"AIRSBEAP4223","Up","Vmachine with HW Failover","10.126.146.123","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4223","Up","Vmachine with HW Failover","fe80::18bf:7360:7559:ce6a%5","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4224","Up","Vmachine with HW Failover","10.126.146.124","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4224","Up","Vmachine with HW Failover","fe80::fdcf:766f:bb43:84ca 10.126.146.124","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"AIRSBEAP4224","Up","Vmachine with HW Failover","10.126.146.124","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4224","Up","Vmachine with HW Failover","fe80::fdcf:766f:bb43:84ca%6","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4231","Up","Azure VM","10.76.100.18","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4231","Up","Azure VM","","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4231","Up","Azure VM","10.76.100.18","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4231","Up","Azure VM","fe80::25d2:554e:7761:aa2b%4","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4232","Up","Azure VM","10.76.100.19","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4232","Up","Azure VM","","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4232","Up","Azure VM","10.76.100.19","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4232","Up","Azure VM","fe80::4ccf:f5da:83c6:6142%7","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4233","Up","Azure VM","10.76.100.20","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4233","Up","Azure VM","10.76.100.20","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4233","Up","Azure VM","fe80::88f8:3075:1c56:2e61%6","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4234","Up","Azure VM","10.76.100.21","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4234","Up","Azure VM","10.76.100.21","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4234","Up","Azure VM","fe80::a00e:37f6:4dfa:87c2%4","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4235","Up","Vmachine with HW Failover","10.126.145.171","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4235","Up","Vmachine with HW Failover","10.126.145.171","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4235","Up","Vmachine with HW Failover","10.126.145.171","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4236","Up","Vmachine with HW Failover","10.126.145.184","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4236","Up","Vmachine with HW Failover","10.126.145.184","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4236","Up","Vmachine with HW Failover","10.126.145.184","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4237","Up","Vmachine with HW Failover","10.126.145.185","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4237","Up","Vmachine with HW Failover","fe80::1aa:d52:d29:1300 172.21.227.72","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","deployment-vlan-126",""
"AIRSBEAP4237","Up","Vmachine with HW Failover","10.126.145.185","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4237","Up","Vmachine with HW Failover","172.21.227.72","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4237","Up","Vmachine with HW Failover","fe80::1aa:d52:d29:1300%4","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4237","Up","Vmachine with HW Failover","10.126.145.185","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4238","Disposed","Vmachine with HW Failover","10.126.145.186","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4239","Up","Vmachine with HW Failover","10.126.145.191","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4239","Up","Vmachine with HW Failover","10.126.145.191","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4239","Up","Vmachine with HW Failover","10.126.145.191","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4239","Up","Vmachine with HW Failover","fe80::69d3:fcf2:d589:3975%7","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4239","Up","Vmachine with HW Failover","172.21.227.70","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4239","Up","Vmachine with HW Failover","fe80::605f:b761:9ecd:7004%5","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4240","Up","Vmachine with HW Failover","10.126.145.192","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4240","Up","Vmachine with HW Failover","10.126.145.192","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4240","Up","Vmachine with HW Failover","10.126.145.192","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4241","Up","Vmachine with HW Failover","10.126.145.193","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4241","Up","Vmachine with HW Failover","10.126.145.193","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4241","Up","Vmachine with HW Failover","10.126.145.193","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4300","Disposed","Vmachine with HW Failover","10.126.172.183","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4300","Disposed","Vmachine with HW Failover","10.126.149.25","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"AIRSBEAP4301","Disposed","Vmachine with HW Failover","10.199.19.203","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","ADMIN"
"AIRSBEAP4301","Disposed","Vmachine with HW Failover","10.126.160.60","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"AIRSBEAP4301","Disposed","Vmachine with HW Failover","192.168.147.203","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","BACKUP"
"AIRSBEAP4305","Disposed","Vmachine with HW Failover","10.126.149.15","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"AIRSBEAP4306","Disposed","Vmachine with HW Failover","10.126.145.83","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"AIRSBEAP4306","Disposed","Vmachine with HW Failover","","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4310","Up","Vmachine with HW Failover","10.126.145.25","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"AIRSBEAP4310","Up","Vmachine with HW Failover","fe80::71f8:3abc:e4a2:d7ca 10.126.145.25","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4310","Up","Vmachine with HW Failover","10.126.145.25","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4310","Up","Vmachine with HW Failover","fe80::71f8:3abc:e4a2:d7ca%5","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4311","Up","Vmachine with HW Failover","10.126.145.26","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","Production"
"AIRSBEAP4311","Up","Vmachine with HW Failover","fe80::64e6:f519:7781:1a3 10.126.145.26","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4311","Up","Vmachine with HW Failover","10.126.145.26","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4311","Up","Vmachine with HW Failover","fe80::64e6:f519:7781:1a3%2","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4312","Up","Hardware Machine","10.253.0.250","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4312","Up","Hardware Machine","10.132.16.98","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","ILO Ip-address"
"AIRSBEAP4312","Up","Hardware Machine","10.253.0.250","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4312","Up","Hardware Machine","","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4312","Up","Hardware Machine","","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4312","Up","Hardware Machine","fe80::1080:a3c2:3a5e:26ea%6","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4313","Up","Vmachine with HW Failover","10.126.145.46","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4313","Up","Vmachine with HW Failover","fe80::ccb:913b:eb36:25ff 10.126.145.46","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4313","Up","Vmachine with HW Failover","10.126.145.46","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4313","Up","Vmachine with HW Failover","fe80::ccb:913b:eb36:25ff%3","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4314","Up","Vmachine with HW Failover","10.126.145.47","255.255.255.0, 64","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4314","Up","Vmachine with HW Failover","fe80::217e:6a38:ced8:7e71 10.126.145.47","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4314","Up","Vmachine with HW Failover","10.126.145.47","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4314","Up","Vmachine with HW Failover"," fe80::217e:6a38:ced8:7e71","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4315","Up","Vmachine with HW Failover","10.126.145.48","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4315","Up","Vmachine with HW Failover","fe80::3d8e:1605:53f5:739e 10.126.145.48","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4315","Up","Vmachine with HW Failover","10.126.145.48","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4315","Up","Vmachine with HW Failover","fe80::3d8e:1605:53f5:739e%7","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4316","Up","Vmachine with HW Failover","10.126.146.42","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PRODUCTION"
"AIRSBEAP4316","Up","Vmachine with HW Failover","fe80::9de9:4ca7:29d0:16d0 10.126.146.42","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"AIRSBEAP4316","Up","Vmachine with HW Failover","10.126.146.42","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4316","Up","Vmachine with HW Failover","fe80::9de9:4ca7:29d0:16d0%4","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4320","Disposed","Vmachine with HW Failover","10.126.145.32","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4321","Up","Vmachine with HW Failover","10.126.145.33","255.255.255.0","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4321","Up","Vmachine with HW Failover","fe80::ddf6:8c5c:bdd:76c 10.126.145.33","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_prod41_vlan_841_dpc",""
"AIRSBEAP4321","Up","Vmachine with HW Failover","10.126.145.33","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4321","Up","Vmachine with HW Failover","fe80::ddf6:8c5c:bdd:76c%2","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4322","Disposed","Vmachine with HW Failover","10.126.145.147","255.255.255.0, 64","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4324","Up","Vmachine with HW Failover","10.126.149.29","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","be_TestDev45_vlan_845_dpc"
"AIRSBEAP4324","Up","Vmachine with HW Failover","10.126.149.29","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_TestDev45_vlan_845_dpc",""
"AIRSBEAP4324","Up","Vmachine with HW Failover","10.126.149.29","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","10.126.160.66","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","10.199.17.178","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","ADMIN"
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","192.168.17.178","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","BACK"
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","fe80::89be:17cc:e9c4:87b5 10.199.17.178","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","ADMIN_VLAN_2117",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","fe80::ecb9:8e01:305a:bd4c 10.126.160.66 10.126.160.110","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_856",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","fe80::e967:e1b6:e8ec:725d 192.168.17.178","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","BACKUP_VLAN_2517",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","fe80::b5ee:9279:fb49:fb3a 10.126.173.32","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_576",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","192.168.17.178","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager"," fe80::e967:e1b6:e8ec:725d","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","10.126.160.110","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager"," 10.126.160.66","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager"," fe80::ecb9:8e01:305a:bd4c","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","10.199.17.178","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager"," fe80::89be:17cc:e9c4:87b5","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager","10.126.173.32","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4325","Up","DRP with SiteRecoveryManager"," fe80::b5ee:9279:fb49:fb3a","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","10.126.160.67","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PROD"
"AIRSBEAP4326","Up","Vmachine with HW Failover","10.199.17.179","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","ADMIN"
"AIRSBEAP4326","Up","Vmachine with HW Failover","192.168.17.179","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","BACK"
"AIRSBEAP4326","Up","Vmachine with HW Failover","fe80::6c6e:1da2:352b:cca6 10.199.17.179","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","ADMIN_VLAN_2117",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","fe80::bcb7:867c:a8b0:947b 10.126.160.67 10.126.160.69","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_856",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","fe80::35c5:50f9:d1be:70b 192.168.17.179","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","BACKUP_VLAN_2517",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","fe80::b5ca:3423:68ad:d35b 10.126.173.33","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","PROD_VLAN_576",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","10.199.17.179","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover"," fe80::6c6e:1da2:352b:cca6","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","192.168.17.179","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover"," fe80::35c5:50f9:d1be:70b","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","10.126.160.69","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover"," 10.126.160.67","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover"," fe80::bcb7:867c:a8b0:947b","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover","10.126.173.33","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4326","Up","Vmachine with HW Failover"," fe80::b5ca:3423:68ad:d35b","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4328","Up","Vmachine with HW Failover","10.126.146.100","255.255.255.0","10.126.146.1","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PROD"
"AIRSBEAP4328","Up","Vmachine with HW Failover","fe80::41a0:ea5:df30:3e4 10.126.146.100","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"AIRSBEAP4328","Up","Vmachine with HW Failover","10.126.146.100","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4328","Up","Vmachine with HW Failover","fe80::41a0:ea5:df30:3e4%4","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4329","Up","Vmachine with HW Failover","10.126.146.101","255.255.255.0","10.126.146.1","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PROD"
"AIRSBEAP4329","Up","Vmachine with HW Failover","fe80::7103:2ae6:ed97:c905 10.126.146.101","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"AIRSBEAP4329","Up","Vmachine with HW Failover","10.126.146.101","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4329","Up","Vmachine with HW Failover","fe80::7103:2ae6:ed97:c905%16","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4331","Up","Vmachine with HW Failover","10.126.146.103","255.255.255.0","10.126.146.1","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PROD"
"AIRSBEAP4331","Up","Vmachine with HW Failover","fe80::69c7:76ff:62bf:870f 10.126.146.103","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"AIRSBEAP4331","Up","Vmachine with HW Failover","10.126.146.103","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4331","Up","Vmachine with HW Failover","fe80::69c7:76ff:62bf:870f%4","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4335","Up","Vmachine with HW Failover","10.126.146.106","255.255.255.0","10.126.146.1","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PROD"
"AIRSBEAP4335","Up","Vmachine with HW Failover","fe80::15b4:33e8:4493:e8fb 10.126.146.106","","","Atlas Copco","Atlas DCCOP EMEA","VMWare","be_Prod42_vlan_842_dpc",""
"AIRSBEAP4335","Up","Vmachine with HW Failover","10.126.146.106","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4335","Up","Vmachine with HW Failover","fe80::15b4:33e8:4493:e8fb%14","","","Atlas Copco","Atlas DCCOP EMEA","SCOM","",""
"AIRSBEAP4337","Up","DRP with SiteRecoveryManager","10.126.172.11","255.255.255.0","10.126.172.1","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","PROD"
"AIRSBEAP4337","Up","DRP with SiteRecoveryManager","10.199.18.250","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","ADMIN"
"AIRSBEAP4337","Up","DRP with SiteRecoveryManager","192.168.146.250","","","Atlas Copco","Atlas DCCOP EMEA","Manual entry","","BACKUP"
